item_id,mean,std,min,max,cv
item_1,46.07,15.13,10,115,0.328
item_10,23.26,8.04,2,58,0.346
item_11,25.49,8.72,1,63,0.342
item_12,21.36,7.51,0,56,0.352
item_13,41.09,13.56,8,103,0.33
item_14,24.39,8.39,0,62,0.344
item_15,21.74,7.64,0,56,0.351
item_16,30.98,10.38,2,79,0.335
item_17,16.76,6.17,0,44,0.368
item_18,40.14,13.25,9,102,0.33
item_19,14.41,5.55,0,39,0.385
item_2,39.17,12.92,10,98,0.33
item_20,46.66,15.21,11,112,0.326
item_21,39.05,12.83,8,94,0.329
item_22,18.8,6.74,0,50,0.359
item_23,11.97,4.89,0,33,0.409
item_24,40.64,13.39,9,99,0.329
item_25,36.77,12.21,8,92,0.332
item_26,37.57,12.5,8,96,0.333
item_27,39.05,12.87,8,94,0.33
item_28,14.4,5.51,0,39,0.383
item_29,24.45,8.43,2,62,0.345
item_3,44.99,14.8,11,110,0.329
item_30,15.88,5.93,0,40,0.373
item_31,42.29,13.91,10,104,0.329
item_32,33.8,11.27,5,82,0.333
item_33,23.47,8.09,0,58,0.345
item_34,14.03,5.43,0,38,0.387
item_35,22.75,7.9,0,57,0.347
item_36,23.29,8.07,2,58,0.347
item_37,37.53,12.4,8,93,0.33
item_38,34.33,11.48,7,86,0.334
item_39,43.13,14.17,11,105,0.329
item_4,43.42,14.28,9,109,0.329
item_40,28.47,9.6,2,70,0.337
item_41,16.0,5.95,0,44,0.372
item_42,36.99,12.27,6,92,0.332
item_43,38.69,12.84,7,97,0.332
item_44,31.66,10.61,7,80,0.335
item_45,39.05,12.91,5,94,0.331
item_46,29.23,9.84,4,74,0.337
item_47,30.25,10.19,4,75,0.337
item_48,26.93,9.17,0,68,0.341
item_49,12.67,5.07,0,37,0.4
item_5,32.92,10.98,5,81,0.334
item_50,15.58,5.85,0,40,0.375
item_6,44.37,14.56,10,110,0.328
item_7,14.92,5.67,0,39,0.38
item_8,18.73,6.75,0,50,0.36
item_9,13.38,5.24,0,38,0.392
